x|y|z|qx|qy|qz|qw|wx|wy|wz|vx|vy|ax|ay|yaw|yawv|yawa|fx|fy|fvx|fvy|fax|fay|fyaw|fyawv|fyawa|steer|gas|brake|Ax|SW|
413.526534|-454.748054|48.585928|-0.000409|0.005097|0.925691|0.378246|-0.001390|-0.004174|0.228652|-6.446290|6.023521|-2.041302|-0.662425|2.365802|0.228546|-0.096845|413.403441|-454.608380|-6.195287|6.211016|-0.629421|0.906124|2.365070|0.225223|-0.106285|1.034193|0.296919|0.000000|0|0|
413.201734|-454.447677|48.581923|-0.000547|0.005088|0.927814|0.373008|-0.001440|-0.004143|0.223850|-6.548086|5.990759|-2.031074|-0.648042|2.377107|0.223746|-0.095251|413.081930|-454.309787|-6.303218|6.177458|-0.658878|0.912647|2.376383|0.220476|-0.104355|1.006425|0.301699|0.000000|0|0|
412.871856|-454.148920|48.577769|-0.000685|0.005080|0.929864|0.367869|-0.001491|-0.004114|0.219122|-6.649394|5.958731|-2.021718|-0.633117|2.388173|0.219019|-0.093870|412.755315|-454.012806|-6.410540|6.144533|-0.688279|0.918813|2.387457|0.215801|-0.102654|0.979158|0.306506|0.000000|0|0|
412.536924|-453.851746|48.573465|-0.000822|0.005074|0.931842|0.362827|-0.001543|-0.004088|0.214460|-6.750257|5.927460|-2.013313|-0.617801|2.399005|0.214359|-0.092564|412.423616|-453.717397|-6.517302|6.112268|-0.717635|0.924607|2.398297|0.211190|-0.101124|0.952436|0.311339|0.000000|0|0|
412.196958|-453.556117|48.569006|-0.000958|0.005069|0.933752|0.357884|-0.001600|-0.004061|0.209862|-6.850724|5.896965|-2.005810|-0.602064|2.409605|0.209763|-0.091347|412.086852|-453.423521|-6.623555|6.080685|-0.746948|0.930032|2.408906|0.206638|-0.099724|0.926145|0.316200|0.000000|0|0|
411.851977|-453.261993|48.564389|-0.001093|0.005066|0.935595|0.353037|-0.001651|-0.004043|0.205320|-6.950835|5.867271|-1.999033|-0.585706|2.419978|0.205221|-0.090410|411.745040|-453.131137|-6.729346|6.049813|-0.776213|0.935121|2.419286|0.202137|-0.098498|0.900166|0.321091|0.000000|0|0|
411.501999|-452.969333|48.559611|-0.001228|0.005064|0.937374|0.348286|-0.001682|-0.004044|0.200814|-7.050623|5.838415|-1.992886|-0.568624|2.430124|0.200716|-0.089842|411.398196|-452.840203|-6.834719|6.019681|-0.805442|0.939905|2.429439|0.197673|-0.097517|0.874524|0.326013|0.000000|0|0|
411.147038|-452.678095|48.554669|-0.001363|0.005062|0.939090|0.343632|-0.001699|-0.004057|0.196335|-7.150124|5.810425|-1.987559|-0.551067|2.440045|0.196238|-0.089298|411.046333|-452.550673|-6.939715|5.990319|-0.834664|0.944353|2.439368|0.193240|-0.096707|0.849285|0.330981|0.000000|0|0|
410.787093|-452.388222|48.549560|-0.001494|0.005059|0.940745|0.339074|-0.001389|-0.003663|0.191939|-7.250608|5.784285|-2.042795|-0.486777|2.449744|0.191844|-0.087007|410.689433|-452.262484|-7.045482|5.962741|-0.882806|0.966207|2.449076|0.188876|-0.095364|0.824153|0.355666|0.000000|0|0|
410.422043|-452.099568|48.544278|-0.001597|0.005047|0.942342|0.334610|-0.000311|-0.002411|0.187619|-7.354417|5.761804|-2.105329|-0.416246|2.459226|0.187524|-0.087050|410.327385|-451.975502|-7.153376|5.938030|-0.950398|1.004691|2.458565|0.184552|-0.094439|0.798603|0.382134|0.000000|0|0|
