x|y|z|qx|qy|qz|qw|wx|wy|wz|vx|vy|ax|ay|yaw|yawv|yawa|fx|fy|fvx|fvy|fax|fay|fyaw|fyawv|fyawa|steer|gas|brake|Ax|SW||wheelbase|SR|K|v|curv_yawv|SW_yawv|
502.944207|-3.882414|0.513482|0.000822|-0.003869|0.062167|0.998058|0.002018|-4.1E-05|0.199217|1.201329|0.497745|0.890693|0.641001|0.12441|0.199363|0.161813|502.940723|-3.846852|1.210511|0.470925|1.004698|0.341075|0.124392|0.199312|0.160808|8|0.31886|0|1|8|||||1.29888692223226|0.153448307615156|6.12886498625048|0.054705409994991
503.005827|-3.860338|0.5135|0.000895|-0.003869|0.067243|0.997729|0.002234|1.5E-05|0.207305|1.245598|0.530546|0.879915|0.670714|0.134585|0.207449|0.161651|503.001894|-3.822162|1.255898|0.501269|1.006148|0.348191|0.134565|0.207389|0.161084|8|0.319939|0|1|8|||||1.35223903092796|0.153367115766272|6.1260709759108|0.054868906051936
503.069704|-3.836725|0.513517|0.000974|-0.003867|0.07252|0.997359|0.002421|8.2E-05|0.215399|1.289291|0.564871|0.86773|0.701839|0.145163|0.215542|0.162132|503.065267|-3.795835|1.300806|0.533023|1.007355|0.355742|0.145142|0.21548|0.161407|8|0.321036|0|1|8|||||1.40577728256115|0.153281748590661|6.12312941552292|0.055041299857427
503.135818|-3.811503|0.513534|0.00105|-0.003864|0.077992|0.996946|0.001548|-0.000143|0.222828|1.332804|0.599988|0.877197|0.691892|0.156138|0.222941|0.124735|503.130826|-3.767823|1.345466|0.565876|1.012635|0.358356|0.156099|0.222758|0.148519|8|0.321838|0|1|8|||||1.45962132230658|0.152613555718674|6.09692439952966|0.056589011579774
503.20418|-3.78465|0.513557|0.001077|-0.003873|0.08362|0.99649|-0.000574|-0.000942|0.228451|1.37651|0.634856|0.86288|0.714777|0.16743|0.228572|0.114628|503.198581|-3.738122|1.389942|0.599434|1.016074|0.361197|0.167383|0.229158|0.134775|8|0.322136|0|1|8|||||1.51369081510063|0.151390229572587|6.04855602557677|0.059502087270511
503.27476|-3.756103|0.513599|0.001085|-0.003894|0.089393|0.995988|-0.000142|-0.001227|0.235103|1.418822|0.671826|0.832819|0.759158|0.179022|0.235256|0.150364|503.26848|-3.706644|1.433642|0.634156|1.013264|0.367269|0.179001|0.235948|0.138353|8|0.323076|0|1|8|||||1.5676361875448|0.15051196309109|6.01398396896785|0.061629057429948
503.347498|-3.725781|0.513673|0.001118|-0.00392|0.095347|0.995436|0.001157|-0.001289|0.242777|1.46007|0.710513|0.818195|0.787937|0.19098|0.24292|0.149982|503.34047|-3.673307|1.476491|0.670221|1.010506|0.373249|0.190972|0.243015|0.141795|8|0.32434|0|1|8|||||1.62148754602741|0.14987164137978|5.98893131651229|0.06319370702664
503.422358|-3.69361|0.513779|0.001188|-0.00395|0.101484|0.994829|0.002699|-0.001274|0.250073|1.500542|0.750837|0.798823|0.826429|0.203313|0.250199|0.145717|503.414512|-3.638034|1.518546|0.707778|1.008244|0.38103|0.203299|0.250135|0.142831|8|0.325604|0|1|8|||||1.67538999979109|0.1492995660898|5.9666199569164|0.064603662493917
503.499292|-3.659485|0.51391|0.001303|-0.003979|0.107803|0.994164|0.004729|-0.000825|0.258033|1.539589|0.793746|0.763127|0.889613|0.21602|0.258171|0.174206|503.490541|-3.600708|1.55953|0.747263|1.003481|0.393309|0.216012|0.257998|0.153941|8|0.327248|0|1|8|||||1.7293165736987|0.149190728825428|5.96283717172557|0.064844256076611
503.578229|-3.623275|0.514052|0.001469|-0.003997|0.114331|0.993434|0.006299|-0.000103|0.267025|1.577112|0.839535|0.740708|0.937631|0.229157|0.267152|0.178208|503.568483|-3.561198|1.599371|0.789003|1.000522|0.406876|0.229144|0.266459|0.163735|8|0.329212|0|1|8|||||1.78339937469149|0.149410728623865|5.97221743309083|0.064248470916574
503.659117|-3.584862|0.514184|0.001655|-0.004001|0.121073|0.992634|0.00619|0.000316|0.275567|1.613691|0.887493|0.721364|0.980783|0.242735|0.275681|0.164633|503.648286|-3.519395|1.638236|0.833007|1.000626|0.421013|0.2427|0.274919|0.165378|8|0.331014|0|1|8|||||1.83785686432459|0.149586730793115|5.97986295560143|0.063764901221115
